reach_time,algo_time,percentage
73.2932,3404.2141,0.0215
73.2932,3404.4632,0.0215
73.2932,3417.4444,0.0214
73.2932,3417.7006,0.0214
73.2933,3445.7450,0.0213
73.2933,3459.0331,0.0212
73.2933,3459.2878,0.0212
73.2933,3472.0456,0.0211
73.2933,3484.7969,0.0210
73.2933,3485.0638,0.0210
73.2934,3497.8197,0.0210
73.2934,3498.0766,0.0210
73.2934,3498.3413,0.0210
73.2934,3512.7760,0.0209
73.2934,3513.0406,0.0209
73.2935,3526.3452,0.0208
73.2935,3539.3325,0.0207
73.2935,3539.8723,0.0207
73.2935,3565.1652,0.0206
73.2935,3579.8651,0.0205
73.2936,3592.3179,0.0204
73.2936,3592.5926,0.0204
73.2936,3592.8647,0.0204
73.2936,3606.1368,0.0203
73.2936,3606.4158,0.0203
73.2936,3619.0842,0.0203
73.2937,3631.9168,0.0202
73.2937,3647.3165,0.0201
73.2937,3647.5972,0.0201
73.2937,3661.4965,0.0200
73.2937,3699.4509,0.0198
73.2938,3699.7287,0.0198
73.2938,3715.2042,0.0197
73.2938,3727.5386,0.0197
73.2938,3728.1084,0.0197
73.2938,3754.1140,0.0195
73.2939,3767.2437,0.0195
73.2939,3781.7002,0.0194
73.2939,3805.9892,0.0193
73.2939,3806.2737,0.0193
73.2939,3818.0370,0.0192
73.2939,3871.2822,0.0189
73.2940,3883.0359,0.0189
73.2940,3910.5914,0.0187
73.2940,3911.3921,0.0187
73.2940,3911.6484,0.0187
73.2940,3911.9111,0.0187
73.2941,3924.8630,0.0187
73.2941,3925.1502,0.0187
73.2941,3950.4286,0.0186
73.2941,3951.0054,0.0186
73.2941,3962.8786,0.0185
73.2942,3963.1720,0.0185
73.2942,3963.4685,0.0185
73.2942,3977.9856,0.0184
73.2942,4002.7333,0.0183
73.2942,4027.8716,0.0182
73.2943,4028.1728,0.0182
73.2943,4043.0418,0.0181
73.2943,4043.3397,0.0181
73.2943,4056.4402,0.0181
73.2943,4069.3614,0.0180
73.2943,4095.2251,0.0179
73.2944,4095.5267,0.0179
73.2944,4136.0707,0.0177
73.2944,4175.7399,0.0176
73.2944,4188.4058,0.0175
73.2944,4188.7133,0.0175
73.2945,4201.0573,0.0174
73.2945,4213.8660,0.0174
73.2945,4214.1679,0.0174
73.2945,4226.7995,0.0173
73.2945,4241.9893,0.0173
73.2945,4242.5986,0.0173
73.2946,4254.7074,0.0172
73.2946,4255.0144,0.0172
73.2946,4267.9093,0.0172
73.2946,4279.9044,0.0171
73.2946,4292.7578,0.0171
73.2947,4293.3696,0.0171
73.2947,4308.4337,0.0170
73.2947,4308.7489,0.0170
73.2947,4322.1503,0.0170
73.2947,4348.3246,0.0169
73.2947,4376.4944,0.0167
73.2948,4389.4661,0.0167
73.2948,4414.7078,0.0166
73.2948,4427.2297,0.0166
73.2948,4442.5947,0.0165
73.2948,4455.5584,0.0165
73.2949,4455.8829,0.0164
73.2949,4495.5415,0.0163
73.2949,4510.7606,0.0162
73.2949,4523.0745,0.0162
73.2949,4523.3918,0.0162
73.2950,4523.7076,0.0162
73.2950,4536.4052,0.0162
73.2950,4536.7335,0.0162
73.2950,4561.5119,0.0161
73.2950,4576.1444,0.0160
73.2951,4576.4556,0.0160
73.2951,4588.6898,0.0160
73.2951,4589.0055,0.0160
73.2951,4589.2859,0.0160
73.2951,4615.6509,0.0159
73.2952,4615.9722,0.0159
73.2952,4616.2933,0.0159
73.2952,4629.7516,0.0158
73.2952,4644.1794,0.0158
73.2952,4669.3048,0.0157
73.2952,4693.1343,0.0156
73.2953,4693.7486,0.0156
